epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,823.106,1.1316,0.85142,0.41582,0.13388,0.05231,0.00742,0.00272,0.85165,0.97756,0.35489,3.30789e-05,3.30789e-05,0.0669542
2,1636.02,0.76419,1.02276,0.22664,0.25967,0.05696,0.01662,0.00727,0.58851,1.30528,0.19805,6.42206e-05,6.42206e-05,0.033652
3,2445.06,0.68305,1.091,0.2006,0.38554,0.05616,0.01987,0.0089,0.50973,1.30897,0.16677,9.31623e-05,9.31623e-05,0.000347615
4,3253.07,0.63417,1.10516,0.1816,0.26066,0.18485,0.02181,0.01001,0.49114,1.31051,0.16251,9.01e-05,9.01e-05,9.01e-05
5,4065.86,0.61069,1.11328,0.17222,0.51352,0.1594,0.02346,0.01198,0.47816,1.29517,0.15644,8.68e-05,8.68e-05,8.68e-05
6,4880.84,0.58922,1.1237,0.16976,0.64243,0.13542,0.02487,0.01323,0.46091,1.31233,0.15672,8.35e-05,8.35e-05,8.35e-05
7,5704.46,0.57841,1.13139,0.16691,0.64215,0.14704,0.02954,0.01806,0.4429,1.35817,0.14671,8.02e-05,8.02e-05,8.02e-05
8,6544.18,0.55783,1.13769,0.15201,0.64379,0.13422,0.03191,0.01914,0.44,1.30851,0.14157,7.69e-05,7.69e-05,7.69e-05
9,7357.91,0.56847,1.11348,0.15727,0.64635,0.12368,0.03438,0.02024,0.43471,1.2823,0.14463,7.36e-05,7.36e-05,7.36e-05
10,8180.2,0.54521,1.11068,0.14752,0.77074,0.13216,0.03696,0.02273,0.42688,1.25868,0.1404,7.03e-05,7.03e-05,7.03e-05
11,9000.17,0.55715,1.08405,0.14532,0.40351,0.27925,0.04147,0.0255,0.42614,1.26666,0.14043,6.7e-05,6.7e-05,6.7e-05
12,9813.54,0.5424,1.07547,0.14388,0.52739,0.26082,0.05252,0.03105,0.42733,1.26428,0.14057,6.37e-05,6.37e-05,6.37e-05
13,10627,0.53181,1.07711,0.14073,0.53131,0.24884,0.05299,0.03297,0.42206,1.28895,0.14073,6.04e-05,6.04e-05,6.04e-05
14,11449.4,0.54186,1.04465,0.145,0.53299,0.25983,0.05777,0.03626,0.42587,1.20761,0.1397,5.71e-05,5.71e-05,5.71e-05
15,12265.2,0.53196,1.0412,0.14177,0.54174,0.23112,0.06251,0.04046,0.42356,1.15381,0.13616,5.38e-05,5.38e-05,5.38e-05
16,13079,0.53311,1.01364,0.14474,0.55212,0.2351,0.07816,0.05108,0.43469,1.10654,0.1401,5.05e-05,5.05e-05,5.05e-05
17,13890.4,0.54396,0.93305,0.14267,0.58378,0.21312,0.13873,0.08883,0.45254,0.94491,0.148,4.72e-05,4.72e-05,4.72e-05
18,14704.8,0.57834,0.78871,0.15683,0.68501,0.23206,0.21371,0.13928,0.48822,0.78255,0.15924,4.39e-05,4.39e-05,4.39e-05
19,15514.8,0.56534,0.73183,0.15646,0.69526,0.24245,0.22792,0.1473,0.463,0.79592,0.15072,4.06e-05,4.06e-05,4.06e-05
20,16325.4,0.58324,0.71946,0.16168,0.69101,0.23739,0.25686,0.16566,0.47334,0.74798,0.15292,3.73e-05,3.73e-05,3.73e-05
21,17139,0.49153,0.74194,0.15162,0.71769,0.25369,0.27298,0.17201,0.4794,0.73763,0.1568,3.4e-05,3.4e-05,3.4e-05
22,17952.3,0.49408,0.70969,0.15265,0.78172,0.25086,0.30357,0.18526,0.47084,0.7211,0.14783,3.07e-05,3.07e-05,3.07e-05
23,18766.8,0.49044,0.69831,0.14923,0.75503,0.25843,0.30654,0.18952,0.47378,0.70276,0.14881,2.74e-05,2.74e-05,2.74e-05
24,19580,0.49553,0.68471,0.14972,0.36936,0.41827,0.30638,0.18854,0.47942,0.67895,0.14698,2.41e-05,2.41e-05,2.41e-05
25,20395.4,0.49096,0.67114,0.14757,0.77694,0.26339,0.31553,0.19482,0.4743,0.68123,0.14609,2.08e-05,2.08e-05,2.08e-05
26,21210.2,0.49201,0.66386,0.15022,0.34896,0.44082,0.30967,0.19149,0.47847,0.67005,0.14862,1.75e-05,1.75e-05,1.75e-05
27,22023.9,0.49156,0.64778,0.14772,0.36637,0.43525,0.32586,0.20047,0.47716,0.66149,0.14702,1.42e-05,1.42e-05,1.42e-05
28,22837.9,0.48672,0.65756,0.14677,0.37746,0.43763,0.32904,0.19796,0.47401,0.66386,0.14602,1.09e-05,1.09e-05,1.09e-05
29,23653.3,0.49005,0.64574,0.14555,0.37198,0.43298,0.32038,0.19591,0.47641,0.65587,0.14599,7.6e-06,7.6e-06,7.6e-06
30,24470.1,0.48752,0.64782,0.14403,0.37092,0.43865,0.32558,0.19798,0.47518,0.65386,0.1451,4.3e-06,4.3e-06,4.3e-06
