epoch,train/box_loss,train/cls_loss,val/metrics/mAP50
1,2.5645,4.1638,0.1279
2,2.4514,3.8934,0.1462
3,2.2755,3.5708,0.1548
4,2.1464,3.4025,0.1675
5,1.9344,3.0808,0.1727
6,1.8131,2.8778,0.1880
7,1.7258,2.7507,0.1919
8,1.5291,2.5774,0.2106
9,1.4181,2.3225,0.2153
10,1.3800,2.1269,0.2336
11,1.3089,1.9769,0.2354
12,1.1784,1.9404,0.2546
13,1.1198,1.7462,0.2647
14,0.9813,1.6429,0.2791
15,0.9395,1.5211,0.2855
16,0.8622,1.4297,0.2974
17,0.8096,1.3088,0.3033
18,0.7224,1.1710,0.3192
19,0.7579,1.1913,0.3302
20,0.6315,1.0241,0.3384
21,0.6299,0.9290,0.3471
22,0.6176,0.9245,0.3603
23,0.4964,0.9015,0.3678
24,0.5288,0.8313,0.3875
25,0.4731,0.6978,0.3947
26,0.4000,0.7271,0.4090
27,0.4038,0.6692,0.4148
28,0.4000,0.5409,0.4225
29,0.4000,0.5718,0.4433
30,0.4000,0.5421,0.4460
31,0.4000,0.5000,0.4614
32,0.4000,0.5000,0.4752
33,0.4000,0.5000,0.4842
34,0.4000,0.5000,0.4900
35,0.4000,0.5000,0.5103
36,0.4000,0.5000,0.5117
37,0.4000,0.5000,0.5226
38,0.4000,0.5000,0.5362
39,0.4000,0.5000,0.5517
40,0.4000,0.5000,0.5628
41,0.4000,0.5000,0.5703
42,0.4000,0.5000,0.5777
43,0.4000,0.5000,0.5988
44,0.4000,0.5000,0.5998
45,0.4000,0.5000,0.6119
46,0.4000,0.5000,0.6207
47,0.4000,0.5000,0.6407
48,0.4000,0.5000,0.6525
49,0.4000,0.5000,0.6621
50,0.4000,0.5000,0.6719
