epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.065,1.75191,2.85531,1.40291,0.8464,0.03677,0.09287,0.05054,1.54328,3.12344,1.20891,0.00027346,0.00027346,0.00027346
2,754.037,1.5655,1.88376,1.29521,0.65694,0.12856,0.1531,0.08565,1.52771,2.39252,1.25746,0.000540214,0.000540214,0.000540214
3,1181.7,1.51637,1.71464,1.2903,0.60984,0.22935,0.20912,0.11224,1.44172,1.7976,1.2347,0.000795973,0.000795973,0.000795973
4,1599.89,1.47858,1.61856,1.26638,0.49893,0.24707,0.26439,0.15581,1.4528,1.81702,1.2538,0.00078352,0.00078352,0.00078352
5,2014.32,1.4502,1.54799,1.25347,0.65938,0.26977,0.30828,0.17027,1.39854,1.58372,1.23956,0.000767026,0.000767026,0.000767026
6,2428.08,1.41092,1.46682,1.23397,0.4518,0.26369,0.30288,0.18053,1.33925,1.42161,1.19124,0.000750533,0.000750533,0.000750533
7,2850.87,1.3931,1.41063,1.23106,0.48474,0.34856,0.38723,0.23592,1.31425,1.30283,1.16612,0.00073404,0.00073404,0.00073404
8,3277.62,1.37484,1.35786,1.21927,0.50645,0.31164,0.3639,0.2218,1.3239,1.36557,1.18464,0.000717546,0.000717546,0.000717546
9,3710.29,1.36137,1.31982,1.20226,0.47535,0.39386,0.38838,0.23854,1.28309,1.2656,1.15975,0.000701053,0.000701053,0.000701053
10,4141.42,1.31262,1.26399,1.1827,0.50001,0.38323,0.34365,0.20181,1.31755,1.28164,1.17684,0.000684559,0.000684559,0.000684559
11,4500.54,1.31803,1.26133,1.19103,0.53042,0.36717,0.3805,0.23284,1.24827,1.21391,1.13134,0.000668066,0.000668066,0.000668066
12,4863.92,1.30622,1.24016,1.17375,0.5992,0.32955,0.38717,0.22886,1.29731,1.21403,1.16747,0.000651573,0.000651573,0.000651573
13,5205.48,1.28713,1.19319,1.16722,0.59424,0.34531,0.38272,0.2405,1.25827,1.17648,1.14608,0.000635079,0.000635079,0.000635079
14,5531.98,1.29715,1.20645,1.17515,0.56987,0.39025,0.41644,0.24783,1.22073,1.15349,1.12822,0.000618586,0.000618586,0.000618586
15,5856.83,1.26625,1.14404,1.15288,0.57834,0.40357,0.41089,0.25738,1.24432,1.13041,1.14805,0.000602092,0.000602092,0.000602092
16,6181.28,1.25848,1.14426,1.16434,0.59788,0.37006,0.42108,0.25188,1.22035,1.11074,1.13006,0.000585599,0.000585599,0.000585599
17,6505.23,1.2382,1.12231,1.14945,0.54181,0.4397,0.44353,0.27705,1.21092,1.09218,1.12008,0.000569106,0.000569106,0.000569106
18,6829.54,1.23923,1.10541,1.15264,0.55892,0.3555,0.42079,0.26991,1.19639,1.08654,1.11731,0.000552612,0.000552612,0.000552612
19,7153.99,1.22039,1.0809,1.13926,0.69691,0.43486,0.51065,0.32,1.2064,1.05293,1.11258,0.000536119,0.000536119,0.000536119
20,7479.08,1.24343,1.1017,1.15488,0.4606,0.53491,0.51591,0.30679,1.19906,1.03739,1.11153,0.000519625,0.000519625,0.000519625
21,7802.92,1.22443,1.06789,1.14029,0.5696,0.48084,0.4469,0.28057,1.17695,1.05664,1.10445,0.000503132,0.000503132,0.000503132
22,8127.77,1.21331,1.06248,1.13196,0.65708,0.5022,0.50855,0.31846,1.1906,1.00649,1.10605,0.000486639,0.000486639,0.000486639
23,8450.83,1.19814,1.03339,1.14035,0.58659,0.53647,0.50611,0.30971,1.17415,0.98213,1.0968,0.000470145,0.000470145,0.000470145
