epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.514,1.70837,2.85575,1.40614,0.84889,0.048,0.1026,0.05548,1.55274,2.93988,1.22824,0.00027346,0.00027346,0.00027346
2,811.644,1.55009,1.83945,1.29536,0.57528,0.14806,0.21702,0.12961,1.48625,2.23886,1.25285,0.000540214,0.000540214,0.000540214
3,1201.36,1.4914,1.69026,1.27601,0.45542,0.26554,0.21688,0.12153,1.40482,1.65563,1.2235,0.000795973,0.000795973,0.000795973
4,1596.42,1.45886,1.57415,1.25943,0.45881,0.22104,0.23043,0.13435,1.56302,2.02546,1.31702,0.00078352,0.00078352,0.00078352
5,1995.64,1.43203,1.51372,1.24616,0.45007,0.26644,0.26313,0.1498,1.3693,1.51246,1.19228,0.000767026,0.000767026,0.000767026
6,2406.42,1.38921,1.42904,1.22319,0.48623,0.34307,0.326,0.18975,1.36694,1.47999,1.19377,0.000750533,0.000750533,0.000750533
7,2776.69,1.3605,1.37061,1.21771,0.47886,0.37109,0.32334,0.19567,1.30492,1.33857,1.18859,0.00073404,0.00073404,0.00073404
8,3139.71,1.33828,1.32333,1.2071,0.4115,0.41481,0.37003,0.19502,1.38907,1.56597,1.22901,0.000717546,0.000717546,0.000717546
9,3506.43,1.3189,1.27551,1.18858,0.69173,0.28161,0.3678,0.21855,1.29684,1.285,1.16213,0.000701053,0.000701053,0.000701053
10,3859.51,1.27529,1.21698,1.17441,0.55515,0.41611,0.39659,0.23594,1.2766,1.22282,1.1478,0.000684559,0.000684559,0.000684559
11,4213.24,1.28507,1.21026,1.18336,0.4926,0.42267,0.42339,0.23692,1.25982,1.19474,1.16051,0.000668066,0.000668066,0.000668066
12,4566.83,1.27606,1.17399,1.16926,0.58829,0.37403,0.4756,0.27288,1.26085,1.17397,1.14602,0.000651573,0.000651573,0.000651573
13,4919.13,1.25718,1.14626,1.15646,0.53086,0.41271,0.41477,0.25256,1.20308,1.12283,1.13436,0.000635079,0.000635079,0.000635079
14,5272.06,1.27043,1.16,1.162,0.62274,0.38279,0.47036,0.2701,1.21334,1.0989,1.12668,0.000618586,0.000618586,0.000618586
15,5623.6,1.24226,1.09967,1.14453,0.61052,0.50005,0.51868,0.31908,1.19598,1.03484,1.12566,0.000602092,0.000602092,0.000602092
16,5974.34,1.22718,1.09699,1.15794,0.59017,0.36605,0.43696,0.26852,1.19381,1.0728,1.11569,0.000585599,0.000585599,0.000585599
17,6325.64,1.20825,1.07691,1.13349,0.4582,0.57315,0.51762,0.30294,1.20663,1.06132,1.12908,0.000569106,0.000569106,0.000569106
18,6679.64,1.21159,1.05671,1.14263,0.56023,0.4665,0.45517,0.28118,1.19644,1.03629,1.11505,0.000552612,0.000552612,0.000552612
19,7033.87,1.18442,1.01921,1.12478,0.60229,0.50711,0.55124,0.32039,1.16041,1.00548,1.0872,0.000536119,0.000536119,0.000536119
20,7384.52,1.20982,1.04403,1.14588,0.57578,0.51547,0.48456,0.30629,1.15909,1.00347,1.10159,0.000519625,0.000519625,0.000519625
21,7737.76,1.17559,1.01692,1.11648,0.64575,0.47351,0.54897,0.31043,1.19127,0.97901,1.11629,0.000503132,0.000503132,0.000503132
22,8091.43,1.17896,1.00748,1.12103,0.63718,0.50396,0.5536,0.33099,1.16005,0.94539,1.09831,0.000486639,0.000486639,0.000486639
23,8445.12,1.15185,0.97399,1.12004,0.70648,0.48092,0.57303,0.33784,1.16449,0.9413,1.0991,0.000470145,0.000470145,0.000470145
24,8795.07,1.14774,0.96149,1.11281,0.60808,0.53436,0.54477,0.33207,1.15002,0.92872,1.10277,0.000453652,0.000453652,0.000453652
