epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,349.613,1.70636,2.85734,1.4041,0.84555,0.05263,0.11058,0.05839,1.53717,2.8545,1.20594,0.00027346,0.00027346,0.00027346
2,719.495,1.54126,1.84256,1.29316,0.60905,0.1461,0.21443,0.12083,1.4867,2.21518,1.25449,0.000540214,0.000540214,0.000540214
3,1088.04,1.48525,1.69045,1.28245,0.62022,0.24789,0.22335,0.13001,1.43841,1.7682,1.23921,0.000795973,0.000795973,0.000795973
4,1449.51,1.46099,1.60007,1.25444,0.33828,0.2684,0.19032,0.1061,1.50385,1.97916,1.2737,0.00078352,0.00078352,0.00078352
5,1906.32,1.42352,1.50957,1.23936,0.37181,0.26794,0.25563,0.15239,1.41142,1.55819,1.24616,0.000767026,0.000767026,0.000767026
6,2307.15,1.39016,1.44025,1.22309,0.62571,0.27405,0.26759,0.15974,1.33674,1.4666,1.19929,0.000750533,0.000750533,0.000750533
7,2727.04,1.36134,1.37446,1.21833,0.46225,0.31052,0.30129,0.17756,1.31624,1.37713,1.1939,0.00073404,0.00073404,0.00073404
8,3143.92,1.34651,1.3421,1.21888,0.59852,0.29382,0.34943,0.21901,1.32068,1.39475,1.18765,0.000717546,0.000717546,0.000717546
9,3564.5,1.32727,1.29829,1.19431,0.46521,0.36417,0.37668,0.22327,1.27979,1.26892,1.16664,0.000701053,0.000701053,0.000701053
10,3993.82,1.27851,1.21859,1.17809,0.45704,0.40465,0.38569,0.21316,1.30298,1.31147,1.17756,0.000684559,0.000684559,0.000684559
11,4424.45,1.29347,1.21514,1.18764,0.77249,0.30389,0.42649,0.23963,1.24525,1.17371,1.16118,0.000668066,0.000668066,0.000668066
12,4852.62,1.27212,1.19332,1.1693,0.5338,0.41443,0.43659,0.26109,1.23049,1.16615,1.1514,0.000651573,0.000651573,0.000651573
13,5279.18,1.25521,1.14436,1.15863,0.61713,0.37367,0.44051,0.27271,1.20283,1.17878,1.14106,0.000635079,0.000635079,0.000635079
14,5710.18,1.26789,1.16012,1.16639,0.54629,0.40482,0.46916,0.27541,1.2156,1.10308,1.13467,0.000618586,0.000618586,0.000618586
15,6139.71,1.24734,1.10033,1.14895,0.62275,0.40764,0.51944,0.30983,1.19672,1.06331,1.12464,0.000602092,0.000602092,0.000602092
16,6566.53,1.21477,1.08934,1.15356,0.57013,0.42988,0.46531,0.28884,1.17973,1.09297,1.11642,0.000585599,0.000585599,0.000585599
17,6994.59,1.20953,1.07749,1.13757,0.62315,0.44163,0.5246,0.30975,1.20179,1.03142,1.1245,0.000569106,0.000569106,0.000569106
18,7419.65,1.2124,1.06538,1.1453,0.57351,0.43577,0.4352,0.265,1.19509,1.06237,1.11618,0.000552612,0.000552612,0.000552612
19,7837.68,1.18473,1.02539,1.1229,0.65867,0.46776,0.54884,0.34315,1.14479,0.97559,1.0973,0.000536119,0.000536119,0.000536119
20,8251.93,1.20263,1.04762,1.14087,0.69134,0.44456,0.52322,0.31876,1.19398,0.99196,1.12007,0.000519625,0.000519625,0.000519625
21,8667.1,1.19088,1.02661,1.12704,0.58893,0.47541,0.49499,0.29346,1.17141,0.98272,1.10731,0.000503132,0.000503132,0.000503132
22,9091.33,1.17391,1.00803,1.12029,0.72915,0.44311,0.5399,0.32327,1.17834,0.97728,1.10389,0.000486639,0.000486639,0.000486639
23,9547.14,1.15742,0.98423,1.12682,0.53396,0.51861,0.51256,0.2979,1.1769,0.95662,1.10769,0.000470145,0.000470145,0.000470145
24,9984.77,1.14901,0.96487,1.11323,0.68271,0.50981,0.55751,0.32495,1.16647,0.93354,1.10534,0.000453652,0.000453652,0.000453652
25,10416.9,1.13713,0.95984,1.1096,0.67064,0.54558,0.60175,0.37766,1.10777,0.89685,1.0804,0.000437158,0.000437158,0.000437158
26,10850.4,1.13722,0.96084,1.11049,0.65703,0.51039,0.59314,0.35151,1.14586,0.93028,1.09902,0.000420665,0.000420665,0.000420665
27,11277.7,1.11753,0.92365,1.09679,0.6689,0.50682,0.55327,0.32879,1.13429,0.92116,1.0939,0.000404172,0.000404172,0.000404172
28,11707.9,1.11914,0.91368,1.09992,0.62534,0.53965,0.60976,0.37127,1.10383,0.89367,1.07497,0.000387678,0.000387678,0.000387678
29,12139.3,1.11462,0.91876,1.09234,0.67663,0.54953,0.59494,0.36103,1.12628,0.87365,1.08404,0.000371185,0.000371185,0.000371185
30,12568.3,1.10516,0.90055,1.0874,0.68478,0.54088,0.64236,0.3864,1.11959,0.86594,1.07083,0.000354691,0.000354691,0.000354691
31,12991.5,1.08049,0.88759,1.09006,0.6446,0.56756,0.58173,0.36469,1.11797,0.88305,1.07977,0.000338198,0.000338198,0.000338198
32,13421.9,1.07501,0.86404,1.07662,0.6799,0.53876,0.57381,0.36691,1.1076,0.87776,1.0761,0.000321705,0.000321705,0.000321705
33,13853.2,1.07315,0.88357,1.08302,0.75897,0.5315,0.63758,0.404,1.08642,0.85348,1.07066,0.000305211,0.000305211,0.000305211
34,14280.5,1.07296,0.85711,1.07736,0.73168,0.59274,0.69312,0.40685,1.08551,0.82155,1.06459,0.000288718,0.000288718,0.000288718
35,14698,1.06693,0.84213,1.06539,0.76879,0.54872,0.66475,0.4249,1.07872,0.83377,1.0578,0.000272224,0.000272224,0.000272224
